Year,0,1,2,3,4,5
1363,ADDRESS,COL1,COL3,COL4,,
1364,ADDRESS,COL1,COL3,COL4,,
1365,ADDRESS,COL1,COL3,COL4,,
1366,ADDRESS,COL1,COL3,COL4,,
1367,ADDRESS,COL1,COL3,COL4,,
1368,ADDRESS,COL1,COL3,COL4,,
1369,ADDRESS,COL1,COL3,COL4,COL5,COL6
1370,ADDRESS,COL1,COL3,COL4,COL5,
1371,ADDRESS,COL1,COL3,COL4,COL5,
1372,ADDRESS,COL1,COL3,COL4,COL5,
1373,ADDRESS,COL1,COL3,COL4,COL5,
1374,ADDRESS,COL1,COL3,COL4,,
1375,ADDRESS,COL1,COL3,COL4,,
1376,ADDRESS,COL1,COL3,COL4,,
1377,ADDRESS,COL1,COL3,COL4,,
1378,ADDRESS,COL1,COL3,COL4,,
1379,ADDRESS,COL1,COL3,COL4,,
1380,ADDRESS,COL1,COL3,COL4,,
1381,ADDRESS,COL1,COL3,COL4,,
1382,ADDRESS,COL1,COL3,COL4,,
1383,ADDRESS,COL1,COL3,COL4,,
1384,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,
1385,ADDRESS,DYCOL01,DYCOL02,DYCOL03,DYCOL04,
1386,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,
1387,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,
1388,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,
1389,address,dycol01,dycol02,dycol03,dycol04,
1390,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,
1391,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,
1392,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,
1393,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,
1394,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,
1395,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,
1396,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,
1397,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,
1398,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,
1399,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,
1400,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,
1401,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,
