Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
1369,ADDRESS,Q1,Q2,Q3,Q4A,Q4B,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,ADDRESS,Q1,Q2,Q3,Q4A,Q4B,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1371,ADDRESS,Q1,Q2,Q3,Q4A,Q4B,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,ADDRESS,Q1,Q2,Q3,Q4A,Q4B,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1373,ADDRESS,Q1,Q2,Q3,Q4A,Q4B,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1374,ADDRESS,Q1,Q2,Q3,Q4A,Q4B,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1375,ADDRESS,Q1,Q2,Q3,Q4A,Q4B,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1376,ADDRESS,Q1,Q2,Q3,Q4A,Q4B,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377,ADDRESS,Q1,Q2,Q3,Q4,Q4_1,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378,ADDRESS,Q1,Q2,Q3,Q4,Q4_1,Q5_01,Q5_02,Q5_03,Q5_04,Q5_05,Q5_06,Q5_07,Q5_08,Q5_09,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q5_16,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7A,Q7B,Q8_1,Q8_2_1,Q8_2_2,Q8_2_3,,,,,,,,,,,,,,,,,,,,,,,,,,
