Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1387,Address,MahMorajeh,NeshaniSarparast,NameSarparast,ShoghlSarparast,NoeKhn,Takmil,TakmilDesc,Jaygozin,JaygozinDesc,BlkAbdJaygozin,RadifJaygozin,fStat,fEnt,fvfy,user1,user2,user3,user4,,,,,,,,
1388,Address,MahMorajeh,NeshaniSarparast,NameSarparast,ShoghlSarparast,NoeKhn,Takmil,TakmilDesc,Jaygozin,JaygozinDesc,BlkAbdJaygozin,RadifJaygozin,fStat,fEnt,fvfy,user1,user2,user3,user4,,,,,,,,
1389,Address,MahMorajeh,ShoghlSarparast,NoeKhn,Takmil,TakmilDesc,Jaygozin,JaygozinDesc1,JaygozinDesc2,BlkAbdJaygozin,RadifJaygozin,fStat,fEnt,fvfy,user1,user2,user3,user4,,,,,,,,,
1390,Address,MahMorajeh,ShoghlSarparast,NoeKhn,Takmil,TakmilDescA,TakmilDescB,TakmilDescC,Jaygozin,JaygozinDescA,JaygozinDescB,JaygozinDescC,BlkAbdJaygozin,RadifJaygozin,fStat,fEnt,fvfy,user1,user2,user3,user4,,,,,,
1391,Address,MahMorajeh,ShoghlSarparast,NoeKhn,Takmil,TakmilDescA,TakmilDescB,TakmilDescC,Jaygozin,JaygozinDescA,JaygozinDescB,JaygozinDescC,BlkAbdJaygozin,RadifJaygozin,fStat,fEnt,fvfy,user1,user2,user3,user4,Tekrari,,,,,
1392,Address,MahMorajeh,ShoghlSarparast,NoeKhn,Takmil,TakmilDescA,TakmilDescB,TakmilDescC,Jaygozin,JaygozinDescA,JaygozinDescB,JaygozinDescC,BlkAbdJaygozin,RadifJaygozin,fStat,fEnt,fvfy,user1,user2,user3,user4,Tekrari,Bakhsh,ShrDeh,Hozeh,BlkAbd,AbdName
1393,Address,MahMorajeh,ShoghlSarparast,NoeKhn,Takmil,TakmilDescA,TakmilDescB,TakmilDescC,Jaygozin,JaygozinDescA,JaygozinDescB,JaygozinDescC,BlkAbdJaygozin,RadifJaygozin,fStat,fEnt,fvfy,user1,user2,user3,user4,Tekrari,Bakhsh,ShrDeh,Hozeh,BlkAbd,AbdName
1394,Address,MahMorajeh,ShoghlSarparast,NoeKhn,Takmil,TakmilDescA,TakmilDescB,TakmilDescC,Jaygozin,JaygozinDescA,JaygozinDescB,JaygozinDescC,BlkAbdJaygozin,RadifJaygozin,fStat,fEnt,fvfy,user1,user2,user3,user4,Tekrari,Bakhsh,ShrDeh,Hozeh,BlkAbd,AbdName
1395,Address,MahMorajeh,ShoghlSarparast,NoeKhn,Takmil,TakmilDescA,TakmilDescB,TakmilDescC,Jaygozin,JaygozinDescA,JaygozinDescB,JaygozinDescC,BlkAbdJaygozin,RadifJaygozin,fStat,fEnt,fvfy,user1,user2,user3,user4,Tekrari,Bakhsh,ShrDeh,Hozeh,BlkAbd,AbdName
1396,Address,MahMorajeh,Fasl,weight,NoeKhn,Takmil,TakmilDescA,TakmilDescB,TakmilDescC,Jaygozin,JaygozinDescA,JaygozinDescB,JaygozinDescC,BlkAbdJaygozin,RadifJaygozin,,,,,,,,,,,,
1397,Address,MahMorajeh,Fasl,weight,NoeKhn,Takmil,TakmilDescA,TakmilDescB,TakmilDescC,Jaygozin,JaygozinDescA,JaygozinDescB,JaygozinDescC,BlkAbdJaygozin,RadifJaygozin,,,,,,,,,,,,
1398,Address,MahMorajeh,Fasl,weight,NoeKhn,Takmil,TakmilDescA,TakmilDescB,TakmilDescC,Jaygozin,JaygozinDescA,JaygozinDescB,JaygozinDescC,BlkAbdJaygozin,RadifJaygozin,,,,,,,,,,,,
1399,Address,MahMorajeh,Fasl,weight,NoeKhn,Takmil,TakmilDescA,TakmilDescB,TakmilDescC,Jaygozin,JaygozinDescA,JaygozinDescB,JaygozinDescC,BlkAbdJaygozin,RadifJaygozin,IsTel,FVam,,,,,,,,,,
1400,Address,Fasl,weight,NoeKhn,Takmil,TakmilDescA,TakmilDescB,TakmilDescC,Jaygozin,JaygozinDescA,JaygozinDescB,JaygozinDescC,BlkAbdJaygozin,RadifJaygozin,IsTel,FVam,,,,,,,,,,,
1401,Address,Fasl,weight,NoeKhn,Takmil,TakmilDescA,TakmilDescB,TakmilDescC,Jaygozin,JaygozinDescA,JaygozinDescB,BlkAbdJaygozin,RadifJaygozin,,,,,,,,,,,,,,
