Year,0,1,2,3,4
1390,Address,Dycol01,Dycol03,Dycol04,Dycol05
1391,Address,Dycol01,Dycol03,Dycol04,Dycol05
1392,Address,Dycol01,Dycol03,Dycol04,Dycol05
1393,Address,Dycol01,Dycol03,Dycol04,Dycol05
1394,Address,Dycol01,Dycol03,Dycol04,Dycol05
1395,Address,Dycol01,Dycol03,Dycol04,Dycol05
1396,Address,Dycol01,Dycol03,Dycol04,Dycol05
1397,Address,Dycol01,Dycol03,Dycol04,Dycol05
1398,Address,Dycol01,Dycol03,Dycol04,Dycol05
1399,Address,Dycol01,Dycol03,Dycol04,Dycol05
1400,Address,Dycol01,Dycol03,Dycol04,Dycol05
1401,Address,Dycol01,Dycol03,Dycol04,Dycol05
