Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,10236,1041140: 7; 1011008: 7; 1232126: 6
COL01,0,100.0,integer,18,"1: 9,185; 3: 1,817; 2: 1,073"
COL02,0,100.0,string,232,"956: 2,049; ---: 1,674; 622: 750"
COL03,0,100.0,string,259,"5101: 2,389; 9100: 1,776; ----: 1,674"
COL04,0,100.0,integer,2,"2: 8,242; 1: 5,272"
COL05,0,100.0,integer,3241,"0: 3,028; 120000: 502; 150000: 417"
COL06,0,100.0,integer,4527,600000: 306; 300000: 276; 450000: 212
COL07,0,100.0,integer,3559,"0: 3,045; 120000: 476; 150000: 383"
COL08,0,100.0,integer,4549,600000: 314; 300000: 277; 720000: 233
COL09,0,100.0,integer,440,"0: 11,998; 20000: 133; 30000: 98"
COL10,0,100.0,integer,1067,"0: 8,120; 100000: 1,078; 70000: 477"
COL11,0,100.0,integer,3714,"0: 3,032; 120000: 460; 150000: 376"
COL12,0,100.0,integer,5015,600000: 301; 300000: 276; 450000: 212
