Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,string,19860,00710062: 8; 01130118: 8; 10420001: 7
COL01,0,100.0,integer,18,"1: 17,342; 3: 3,767; 2: 2,312"
COL02,3,99.98865355521936,integer,5,"1: 22,059; 2: 4,375; 9: 2"
COL03,1,99.99621785173979,string,260,"956: 4,323; 622: 1,729; 985: 1,320"
COL04,3,99.98865355521936,integer,333,"4521: 4,875; 8010: 1,270; 111: 1,257"
COL05,60,99.77307110438728,integer,4,"2: 15,524; 1: 10,851; 0: 5"
COL06,0,100.0,integer,6344,"0: 5,379; 150000: 1,013; 200000: 929"
COL07,0,100.0,integer,8809,1800000: 538; 600000: 473; 1200000: 451
COL08,0,100.0,integer,7878,"0: 5,595; 150000: 997; 200000: 858"
COL09,0,100.0,integer,9591,1800000: 663; 0: 608; 1200000: 497
COL10,0,100.0,integer,1154,"0: 23,110; 50000: 169; 30000: 139"
COL11,0,100.0,integer,2451,"0: 14,287; 100000: 1,635; 200000: 725"
COL12,0,100.0,integer,8229,"0: 5,392; 150000: 966; 200000: 834"
COL13,0,100.0,integer,10774,1800000: 528; 600000: 464; 1200000: 444
