Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Address,0,100.0,integer,24534,11014: 1; 109163102: 1; 109163089: 1
DYCOL01,0,100.0,integer,7,"1: 19,164; 3: 2,337; 6: 1,661"
DYCOL02,0,100.0,integer,16,"3: 7,431; 4: 7,092; 2: 4,206"
DYCOL03,0,100.0,integer,250,"100: 2,329; 120: 1,772; 80: 1,438"
DYCOL04,0,100.0,integer,3,"3: 21,915; 1: 1,677; 2: 942"
DYCOL05,2616,89.33724627048178,integer,13,"1: 11,354; 2: 4,322; 6: 2,159"
DYCOL06,20587,16.087878046792202,integer,2,"1: 3,947"
DYCOL07,18991,22.593136056085427,integer,2,"1: 5,543"
DYCOL08,19903,18.875845765060728,integer,2,"1: 4,631"
DYCOL09,8933,63.58930463846091,integer,2,"1: 15,601"
DYCOL10,9303,62.08119344583027,integer,2,"1: 15,231"
DYCOL11,21459,12.53362680361947,integer,2,"1: 3,075"
DYCOL12,4342,82.30211135566968,integer,2,"1: 20,192"
DYCOL13,12103,50.66846009619304,integer,2,"1: 12,431"
DYCOL14,22464,8.437270726338964,integer,2,"1: 2,070"
DYCOL15,21971,10.446726991114375,integer,2,"1: 2,563"
DYCOL16,18091,26.261514632754547,integer,2,"1: 6,443"
DYCOL17,1155,95.29224749327464,integer,2,"1: 23,379"
DYCOL18,1721,92.9852449661694,integer,2,"1: 22,813"
DYCOL19,12175,50.37498981005951,integer,2,"1: 12,359"
DYCOL20,14953,39.051927936740846,integer,2,"1: 9,581"
DYCOL21,10088,58.881552131735546,integer,2,"1: 14,446"
DYCOL22,10052,59.02828727480232,integer,2,"1: 14,482"
DYCOL23,23191,5.47403603162957,integer,2,"1: 1,343"
DYCOL24,24331,0.8274231678486954,integer,2,1: 203
DYCOL25,1577,93.57218553843646,integer,2,"1: 22,957"
DYCOL26,233,99.05029754626233,integer,2,"1: 24,301"
DYCOL27,14363,41.456753892557266,integer,2,"1: 10,171"
DYCOL28,8485,65.41534197440286,integer,2,"1: 16,049"
DYCOL29,23874,2.69014428955735,integer,2,1: 660
DYCOL30,5979,75.6297383223282,integer,2,"1: 18,555"
DYCOL31,4705,80.82253199641313,integer,2,"1: 19,829"
DYCOL32,14648,40.29510067661205,integer,2,"1: 9,886"
DYCOL33,24451,0.33830602429282264,integer,2,1: 83
DYCOL34,23987,2.2295589793755566,integer,2,1: 547
DYCOL35,0,100.0,integer,8,"3: 23,548; 1: 557; 5: 397"
DYCOL36,0,100.0,integer,11,"8: 11,602; 10: 10,290; 12: 1,026"
