Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Address,0,100.0,integer,39864,20012022934: 1; 12302509735: 1; 12301502526: 1
MahMorajeh,0,100.0,integer,12,"5: 3,445; 3: 3,410; 11: 3,407"
ShoghlSarparast,1718,95.6903471804134,string,7623,"داراي درامد بدون کار: 2,696; داراي درآمد بدون کار: 2,005; زراعتکار: 1,682"
NoeKhn,1718,95.6903471804134,integer,3,"1: 38,116; 2: 30"
Takmil,0,100.0,integer,2,"1: 29,060; 2: 10,804"
TakmilDescA,38982,2.212522576760989,integer,4,1: 712; 2: 98; 3: 72
TakmilDescB,32138,19.380895043146694,integer,8,"1: 5,492; 2: 1,370; 3: 457"
TakmilDescC,39804,0.1505117399157152,string,45,تبديل روستا به شهر: 12; تبديل آبادي به شهر: 5; خانوار دوم نقل مکان کرده است: 2
Jaygozin,32138,19.380895043146694,integer,3,"1: 6,890; 2: 836"
JaygozinDescA,39783,0.20319084888621441,integer,4,1: 75; 2: 5; 3: 1
JaygozinDescB,39109,1.8939393939393923,integer,8,1: 277; 2: 204; 3: 165
JaygozinDescC,39834,0.0752558699578576,string,15,تبديل روستا به شهر: 12; تبديل آبادي به شهر: 5; مکان مورد نظر اداري شده: 2
BlkAbdJaygozin,32974,17.283764800321087,integer,1416,2: 492; 1: 427; 3: 395
RadifJaygozin,32974,17.283764800321087,integer,18,33: 936; 31: 900; 36: 657
fStat,0,100.0,integer,2,"5: 27,615; 4: 12,249"
fEnt,0,100.0,integer,1460,"1: 2,003; 781: 102; 736: 94"
fvfy,0,100.0,integer,14,"0: 28,874; 1: 6,862; 2: 2,428"
user1,0,100.0,string,28,"Admin: 35,481; 1: 1,036; data1: 483"
user2,39651,0.5343166767007856,string,12,Admin: 193; 1: 4; client05: 4
user3,1576,96.04655829821392,string,30,"Admin: 34,311; 1: 1,043; data1: 434"
user4,17719,55.55137467389123,string,5,"Admin: 21,444; admin: 319; 2: 253"
Tekrari,37668,5.508729680915114,integer,2,"1: 2,196"
Bakhsh,39864,-0.0,integer,1,
ShrDeh,39864,-0.0,integer,1,
Hozeh,39864,-0.0,integer,1,
BlkAbd,39864,-0.0,integer,1,
AbdName,39864,-0.0,integer,1,
