Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,23134,111053038: 24; 24052064: 22; 5033042: 20
COL01,0,100.0,integer,24,"1: 23,134; 2: 22,173; 3: 19,734"
COL03,0,100.0,integer,9,"3: 57,958; 1: 23,134; 2: 20,450"
COL04,0,100.0,integer,2,"1: 54,277; 2: 53,843"
COL05,0,100.0,integer,100,"17: 3,512; 15: 3,332; 16: 3,314"
COL06,9757,90.97576766555679,integer,3,"1: 77,257; 2: 21,106"
COL07,30863,71.45486496485387,integer,3,"2: 47,191; 1: 30,066"
COL08,30863,71.45486496485387,integer,56,"23: 9,877; 16: 8,450; 15: 6,679"
COL09,17896,83.44802071772105,integer,7,"1: 32,140; 5: 24,296; 4: 22,569"
COL10,17896,83.44802071772105,integer,5,"1: 45,659; 4: 41,015; 2: 3,208"
