Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Address,0,100.0,integer,37951,22203621632: 16; 21103517935: 15; 20623456634: 14
DYCOL01,0,100.0,integer,16,"1: 37,951; 2: 34,205; 3: 26,286"
DYCOL03,0,100.0,integer,9,"3: 54,823; 1: 37,951; 2: 30,490"
DYCOL04,61743,51.18281440250478,string,4,"1: 32,446; 2: 32,287; ?: 2"
DYCOL05,0,100.0,integer,100,"40: 2,342; 8: 2,295; 7: 2,279"
DYCOL06,8953,92.92129856575848,string,4,"1: 99,833; 2: 17,656; -: 36"
DYCOL07,26609,78.9615585319186,string,4,"2: 70,919; 1: 28,914; -: 36"
DYCOL08,26609,78.9615585319186,string,11,"1: 38,023; 2: 20,466; 4: 19,428"
DYCOL09,17881,85.86236341498126,integer,7,"1: 34,580; 5: 32,320; 4: 19,814"
DYCOL10,17878,85.86473536899697,string,6,"1: 64,496; 4: 35,969; 2: 6,609"
