Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,4671,24059: 7; 22055: 7; 22043: 6
COL01,0,100.0,integer,11,"1: 8,512; 2: 65; 3: 57"
COL02,0,100.0,integer,12,"612: 4,068; 614: 3,227; 613: 1,118"
COL03,0,100.0,integer,2,"1: 8,352; 2: 343"
COL04,0,100.0,integer,535,"0: 4,764; 30000: 237; 20000: 227"
COL05,0,100.0,integer,2079,0: 912; 200000: 142; 150000: 139
COL06,0,100.0,integer,473,"0: 6,424; 5000: 127; 3000: 104"
COL07,0,100.0,integer,826,"0: 4,533; 30000: 131; 20000: 126"
COL08,0,100.0,integer,1476,"0: 1,320; 300000: 171; 150000: 157"
COL09,0,100.0,integer,3963,0: 94; 100000: 69; 20000: 64
