Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,8896,1071062: 6; 211036: 5; 1234458: 5
COL01,0,100.0,integer,16,"1: 8,635; 2: 566; 3: 531"
COL02,0,100.0,string,158,"410: 2,529; 754: 2,087; 985: 1,203"
COL03,41,99.5984722358241,integer,5,"1: 8,891; 2: 1,277; 11: 1"
COL04,0,100.0,integer,425,"0: 8,744; 360000: 54; 300000: 39"
COL05,0,100.0,integer,1313,"0: 4,897; 30000: 151; 50000: 141"
COL06,0,100.0,integer,684,"0: 7,348; 5000: 140; 2000: 118"
COL07,0,100.0,integer,1077,"0: 6,479; 5000: 89; 30000: 80"
COL08,0,100.0,integer,308,"0: 9,132; 5000: 74; 10000: 53"
COL09,0,100.0,integer,2626,"0: 4,086; 60000: 75; 120000: 68"
COL10,0,100.0,integer,2654,360000: 312; 600000: 246; 720000: 244
