Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,2418,1114044: 3; 23049: 3; 152003: 3
COL01,0,100.0,integer,11,"1: 2,283; 2: 202; 3: 123"
COL02,1604,40.76809453471196,string,81,753: 336; 410: 228; 985: 149
COL03,0,100.0,integer,2,"1: 2,442; 2: 266"
COL04,0,100.0,integer,157,"0: 2,400; 2000: 10; 240000: 10"
COL05,0,100.0,integer,611,"0: 1,321; 200000: 28; 500000: 22"
COL06,0,100.0,integer,340,"0: 1,837; 5000: 36; 30000: 30"
COL07,0,100.0,integer,406,"0: 1,726; 50000: 26; 20000: 25"
COL08,0,100.0,integer,117,"0: 2,420; 5000: 23; 20000: 15"
COL09,0,100.0,integer,888,"0: 1,188; 1200000: 19; 1800000: 18"
COL10,0,100.0,integer,1015,720000: 71; 600000: 59; 1200000: 57
