Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,12420,1001: 1; 123061: 1; 123039: 1
Q1,0,100.0,integer,6,"1: 10,968; 6: 963; 2: 182"
Q2,0,100.0,integer,6,"4: 8,749; 3: 1,542; 2: 1,174"
Q3,0,100.0,integer,13,"2: 4,769; 3: 2,953; 1: 2,579"
Q4_01,0,100.0,integer,2,"2: 12,076; 1: 344"
Q4_02,0,100.0,integer,2,"2: 10,617; 1: 1,803"
Q4_03,0,100.0,integer,2,"2: 11,267; 1: 1,153"
Q4_04,0,100.0,integer,2,"2: 7,524; 1: 4,896"
Q4_05,0,100.0,integer,2,"1: 7,293; 2: 5,127"
Q4_06,0,100.0,integer,2,"2: 8,249; 1: 4,171"
Q4_07,0,100.0,integer,2,"2: 9,220; 1: 3,200"
Q4_08,0,100.0,integer,2,"2: 7,889; 1: 4,531"
Q4_09,0,100.0,integer,2,"2: 6,630; 1: 5,790"
Q5_1,0,100.0,integer,2,"2: 6,841; 1: 5,579"
Q5_2,0,100.0,integer,2,"1: 7,177; 2: 5,243"
Q5_3,0,100.0,integer,2,"2: 12,392; 1: 28"
Q5_4,0,100.0,integer,2,"2: 11,389; 1: 1,031"
Q5_5,0,100.0,integer,2,"2: 11,774; 1: 646"
