Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,2944,1001: 1; 102033: 1; 102024: 1
Q1,0,100.0,integer,2,"1: 2,919; 2: 25"
Q2,18,99.38858695652173,integer,10,"1: 2,318; 2: 413; 3: 128"
Q3,0,100.0,integer,5,"1: 2,575; 6: 269; 3: 39"
Q4,0,100.0,integer,6,"4: 1,632; 2: 396; 3: 332"
Q5,0,100.0,integer,10,"2: 1,087; 3: 771; 1: 556"
Q6_01,0,100.0,integer,2,"2: 2,871; 1: 73"
Q6_02,0,100.0,integer,2,"2: 2,521; 1: 423"
Q6_03,0,100.0,integer,2,"2: 2,704; 1: 240"
Q6_04,0,100.0,integer,2,"2: 1,658; 1: 1,286"
Q6_05,0,100.0,integer,2,"1: 1,664; 2: 1,280"
Q6_06,0,100.0,integer,2,"2: 1,969; 1: 975"
Q6_07,0,100.0,integer,2,"2: 2,038; 1: 906"
Q6_08,0,100.0,integer,2,"2: 1,660; 1: 1,284"
Q6_09,0,100.0,integer,2,"2: 1,520; 1: 1,424"
Q7_1,0,100.0,integer,2,"1: 1,480; 2: 1,464"
Q7_2,0,100.0,integer,2,"1: 1,889; 2: 1,055"
Q7_3,0,100.0,integer,2,"2: 2,922; 1: 22"
Q7_4,0,100.0,integer,2,"2: 2,660; 1: 284"
Q7_5,0,100.0,integer,2,"2: 2,777; 1: 167"
