Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,3018,1001: 1; 103041: 1; 103032: 1
Q1,0,100.0,integer,6,"1: 2,551; 5: 261; 4: 73"
Q2,0,100.0,integer,9,"7: 1,074; 3: 599; 2: 512"
Q3,0,100.0,integer,10,"2: 1,009; 3: 757; 1: 526"
Q4_1,0,100.0,integer,2,"2: 2,932; 1: 86"
Q4_2,0,100.0,integer,2,"2: 2,564; 1: 454"
Q4_3,0,100.0,integer,2,"2: 2,732; 1: 286"
Q4_4,0,100.0,integer,2,"2: 1,632; 1: 1,386"
Q4_5,0,100.0,integer,2,"1: 1,759; 2: 1,259"
Q4_6,0,100.0,integer,2,"2: 1,914; 1: 1,104"
Q4_7,0,100.0,integer,2,"2: 1,889; 1: 1,129"
Q4_8,0,100.0,integer,2,"2: 1,528; 1: 1,490"
Q4_9,0,100.0,integer,2,"1: 1,717; 2: 1,301"
Q5_1,0,100.0,integer,2,"1: 1,728; 2: 1,290"
Q5_2,0,100.0,integer,2,"1: 2,092; 2: 926"
Q5_3,0,100.0,integer,2,"2: 2,998; 1: 20"
Q5_4,0,100.0,integer,2,"2: 2,600; 1: 418"
Q5_5,0,100.0,integer,2,"2: 2,752; 1: 266"
