Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,4331,1001: 1; 112070: 1; 112056: 1
Q1,0,100.0,integer,6,"1: 3,742; 5: 314; 2: 121"
Q2,0,100.0,integer,9,"7: 1,570; 3: 876; 8: 716"
Q3,0,100.0,integer,9,"2: 1,436; 3: 1,138; 1: 691"
Q4_1,0,100.0,integer,2,"2: 4,185; 1: 146"
Q4_2,0,100.0,integer,2,"2: 3,775; 1: 556"
Q4_3,0,100.0,integer,2,"2: 3,939; 1: 392"
Q4_4,0,100.0,integer,2,"2: 2,364; 1: 1,967"
Q4_5,0,100.0,integer,2,"1: 2,402; 2: 1,929"
Q4_6,0,100.0,integer,2,"2: 2,799; 1: 1,532"
Q4_7,0,100.0,integer,2,"2: 2,705; 1: 1,626"
Q4_8,0,100.0,integer,2,"2: 2,252; 1: 2,079"
Q4_9,0,100.0,integer,2,"1: 2,256; 2: 2,075"
Q5_1,0,100.0,integer,2,"1: 2,452; 2: 1,879"
Q5_2,0,100.0,integer,2,"1: 2,965; 2: 1,366"
Q5_3,0,100.0,integer,2,"2: 4,285; 1: 46"
Q5_4,0,100.0,integer,2,"2: 3,750; 1: 581"
Q5_5,0,100.0,integer,2,"2: 3,954; 1: 377"
