Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,6028,1001: 1; 121107: 1; 122006: 1
Q1,0,100.0,integer,6,"1: 5,372; 5: 410; 3: 92"
Q2,0,100.0,integer,9,"7: 2,605; 3: 1,238; 2: 1,000"
Q3,0,100.0,integer,10,"2: 2,021; 3: 1,744; 4: 887"
Q4_1,0,100.0,integer,2,"2: 5,855; 1: 173"
Q4_2,0,100.0,integer,2,"2: 5,304; 1: 724"
Q4_3,0,100.0,integer,2,"2: 5,548; 1: 480"
Q4_4,0,100.0,integer,2,"2: 3,373; 1: 2,655"
Q4_5,0,100.0,integer,2,"1: 3,574; 2: 2,454"
Q4_6,0,100.0,integer,2,"2: 3,764; 1: 2,264"
Q4_7,0,100.0,integer,2,"2: 3,558; 1: 2,470"
Q4_8,0,100.0,integer,2,"2: 3,057; 1: 2,971"
Q4_9,0,100.0,integer,2,"1: 3,388; 2: 2,640"
Q5_1,0,100.0,integer,2,"1: 3,405; 2: 2,623"
Q5_2,0,100.0,integer,2,"1: 4,268; 2: 1,760"
Q5_3,0,100.0,integer,2,"2: 5,990; 1: 38"
Q5_4,0,100.0,integer,2,"2: 5,280; 1: 748"
Q5_5,0,100.0,integer,2,"2: 5,631; 1: 397"
