Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,3987,1001001: 1; 1182006: 1; 1181003: 1
Q1,0,100.0,integer,6,"1: 2,768; 3: 620; 5: 337"
Q2,0,100.0,integer,9,"2: 2,530; 3: 588; 7: 281"
Q3,0,100.0,integer,9,3: 929; 4: 882; 2: 788
Q4,0,100.0,integer,2,"2: 3,644; 1: 343"
Q5,0,100.0,integer,2,"2: 3,953; 1: 34"
Q6,0,100.0,integer,197,100: 225; 120: 210; 60: 198
Q7_01,0,100.0,integer,2,"2: 3,285; 1: 702"
Q7_02,0,100.0,integer,2,"2: 3,493; 1: 494"
Q7_03,0,100.0,integer,2,"2: 3,298; 1: 689"
Q7_04,0,100.0,integer,2,"1: 2,651; 2: 1,336"
Q7_05,0,100.0,integer,2,"1: 3,047; 2: 940"
Q7_06,0,100.0,integer,2,"1: 2,287; 2: 1,700"
Q7_07,0,100.0,integer,2,"1: 2,674; 2: 1,313"
Q7_08,0,100.0,integer,2,"2: 3,401; 1: 586"
Q7_09,0,100.0,integer,2,"2: 3,403; 1: 584"
Q7_10,0,100.0,integer,2,"1: 3,576; 2: 411"
Q7_11,0,100.0,integer,2,"1: 3,366; 2: 621"
Q7_12,0,100.0,integer,2,"2: 2,983; 1: 1,004"
Q7_13,0,100.0,integer,2,"2: 2,570; 1: 1,417"
Q8_1,0,100.0,integer,2,"1: 3,752; 2: 235"
Q8_2,0,100.0,integer,2,"1: 3,935; 2: 52"
Q8_3,0,100.0,integer,2,"2: 3,480; 1: 507"
Q8_4,0,100.0,integer,2,"1: 2,362; 2: 1,625"
Q8_5,0,100.0,integer,2,"2: 2,174; 1: 1,813"
Q8_6,0,100.0,integer,2,"2: 3,024; 1: 963"
Q8_7,0,100.0,integer,2,"2: 3,653; 1: 334"
Q8_8,0,100.0,integer,2,"1: 3,084; 2: 903"
