Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,20973,940120: 22; 940129: 18; 940112: 16
COL01,0,100.0,integer,23,"1: 31,029; 2: 4,904; 3: 4,022"
COL02,25,99.94328107629829,integer,7,"1: 42,550; 2: 1,496; 4: 2"
COL03,5,99.98865621525967,string,217,"612: 12,016; 614: 10,257; 753: 5,209"
COL04,7,99.98411870136353,integer,272,"124: 10,486; 111: 9,186; 1724: 5,168"
COL05,9,99.97958118746737,integer,4,"2: 30,381; 3: 9,120; 1: 4,567"
COL06,4,99.99092497220772,integer,4,"1: 27,107; 2: 16,960; 0: 6"
COL07,0,100.0,integer,1091,"0: 34,733; 50000: 411; 100000: 411"
COL08,0,100.0,integer,4004,"0: 17,509; 200000: 479; 300000: 475"
COL09,0,100.0,integer,1218,"0: 34,525; 20000: 417; 50000: 372"
COL10,0,100.0,integer,1946,"0: 28,862; 50000: 391; 100000: 358"
COL11,0,100.0,integer,334,"0: 42,309; 50000: 79; 200000: 68"
COL12,0,100.0,integer,5263,"0: 16,193; 500000: 425; 1000000: 406"
COL13,0,100.0,integer,8161,"0: 9,670; 3600000: 486; 1800000: 380"
