Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Address,0,100.0,integer,14596,20303076829: 10; 20311080125: 9; 21908422229: 8
DYCOL01,0,100.0,integer,14,"1: 16,241; 2: 2,884; 3: 1,999"
DYCOL02,0,100.0,integer,2,"1: 21,858; 2: 432"
DYCOL03,0,100.0,integer,237,"6121: 5,274; 6111: 5,158; 5224: 2,269"
DYCOL04,0,100.0,integer,261,"1110: 4,133; 1440: 3,667; 1411: 1,651"
DYCOL05,0,100.0,integer,3,"5: 16,958; 6: 3,378; 4: 1,954"
DYCOL06,0,100.0,integer,2,"1: 13,200; 2: 9,090"
DYCOL07,366,98.35800807537012,integer,19,"8: 4,420; 10: 2,828; 4: 2,510"
DYCOL08,366,98.35800807537012,integer,9,"7: 8,831; 6: 5,584; 5: 2,056"
DYCOL09,4934,77.86451323463437,integer,445,"0: 12,853; 5000000: 325; 2000000: 256"
DYCOL10,1128,94.93943472409153,integer,1598,"0: 4,253; 20000000: 576; 30000000: 565"
DYCOL11,3900,82.50336473755047,integer,348,"0: 12,300; 5000000: 649; 10000000: 542"
DYCOL12,2006,91.0004486316734,integer,1142,"0: 7,353; 10000000: 601; 5000000: 561"
DYCOL13,5618,74.79587258860477,integer,153,"0: 15,312; 2000000: 175; 5000000: 136"
DYCOL14,462,97.92732166890983,integer,3207,"0: 3,233; 120000000: 410; 180000000: 393"
DYCOL15,0,100.0,integer,3273,"0: 3,432; 120000000: 552; 180000000: 445"
